SUB-SAHARAN AFRICA,EASTERN AND SOUTH-EASTERN ASIA,NORTHERN AFRICA AND WESTERN ASIA,CENTRAL AND SOUTHERN ASIA,LATIN AMERICA AND THE CARIBBEAN,EUROPE AND NORTHERN AMERICA
Burundi,China,Algeria,Kazakhstan,Antigua and Barbuda,Belarus
Comoros,"China, Hong Kong SAR",Egypt,Kyrgyzstan,Aruba,Bulgaria
Djibouti,"China, Macao SAR",Libya,Tajikistan,Bahamas,Czechia
Eritrea,"China, Taiwan Province of China",Morocco,Turkmenistan,Barbados,Hungary
Ethiopia,Dem. People's Republic of Korea,Sudan,Uzbekistan,Cuba,Poland
Kenya,Japan,Tunisia,Afghanistan,Curaçao,Republic of Moldova
Madagascar,Mongolia,Western Sahara,Bangladesh,Dominican Republic,Romania
Malawi,Republic of Korea,Armenia,Bhutan,Grenada,Russian Federation
Mauritius,Brunei Darussalam,Azerbaijan,India,Guadeloupe,Slovakia
Mayotte,Cambodia,Bahrain,Iran (Islamic Republic of),Haiti,Ukraine
Mozambique,Indonesia,Cyprus,Maldives,Jamaica,Channel Islands
Réunion,Lao People's Democratic Republic,Georgia,Nepal,Martinique,Denmark
Rwanda,Malaysia,Iraq,Pakistan,Puerto Rico,Estonia
Seychelles,Myanmar,Israel,Sri Lanka,Saint Lucia,Finland
Somalia,Philippines,Jordan,,Saint Vincent and the Grenadines,Iceland
South Sudan,Singapore,Kuwait,,Trinidad and Tobago,Ireland
Uganda,Thailand,Lebanon,,United States Virgin Islands,Latvia
United Republic of Tanzania,Timor-Leste,Oman,,Belize,Lithuania
Zambia,Viet Nam,Qatar,,Costa Rica,Norway
Zimbabwe,,Saudi Arabia,,El Salvador,Sweden
Angola,,State of Palestine,,Guatemala,United Kingdom
Cameroon,,Syrian Arab Republic,,Honduras,Albania
Central African Republic,,Turkey,,Mexico,Bosnia and Herzegovina
Chad,,United Arab Emirates,,Nicaragua,Croatia
Congo,,Yemen,,Panama,Greece
Democratic Republic of the Congo,,,,Argentina,Italy
Equatorial Guinea,,,,Bolivia (Plurinational State of),Malta
Gabon,,,,Brazil,Montenegro
Sao Tome and Principe,,,,Chile,North Macedonia
Botswana,,,,Colombia,Portugal
Eswatini,,,,Ecuador,Serbia
Lesotho,,,,French Guiana,Slovenia
Namibia,,,,Guyana,Spain
South Africa,,,,Paraguay,Austria
Benin,,,,Peru,Belgium
Burkina Faso,,,,Suriname,France
Cabo Verde,,,,Uruguay,Germany
Côte d'Ivoire,,,,Venezuela (Bolivarian Republic of),Luxembourg
Gambia,,,,,Netherlands
Ghana,,,,,Switzerland
Guinea,,,,,Canada
Guinea-Bissau,,,,,United States of America
Liberia,,,,,
Mali,,,,,
Mauritania,,,,,
Niger,,,,,
Nigeria,,,,,
Senegal,,,,,
Sierra Leone,,,,,
Togo,,,,,
